from_id,anbieter,stunde,median_gehzeit,tage_unter_5min,tage_gesamt,anteil_unter_5min,ms_pop
1046,Dott,7,2,19,24,79,158
1046,Dott,8,1,21,24,88,158
1046,Dott,9,1,23,23,100,158
1046,Villo (cyclocity/JCDecaux),6,7,0,24,0,158
1046,Villo (cyclocity/JCDecaux),7,7,0,24,0,158
1046,Villo (cyclocity/JCDecaux),8,7,0,24,0,158
1046,Villo (cyclocity/JCDecaux),9,7,0,24,0,158
1047,Bolt,6,1,22,24,92,145
1047,Bolt,7,1,20,24,83,145
1047,Bolt,8,1,20,23,87,145
1047,Bolt,9,1,20,24,83,145
1047,Dott,6,2,20,24,83,145
1047,Dott,7,1,23,24,96,145
1047,Dott,8,1,22,24,92,145
1047,Dott,9,1,22,24,92,145
1047,Villo (cyclocity/JCDecaux),6,5,24,24,100,145
1047,Villo (cyclocity/JCDecaux),7,5,24,24,100,145
1047,Villo (cyclocity/JCDecaux),8,5,24,24,100,145
1047,Villo (cyclocity/JCDecaux),9,5,23,24,96,145
1048,Bolt,6,1,20,24,83,223
1048,Bolt,7,2,20,23,87,223
1048,Bolt,8,1,20,22,91,223
1048,Bolt,9,1,22,23,96,223
1048,Dott,6,1,22,24,92,223
1048,Dott,7,1,22,23,96,223
1048,Dott,8,2,21,23,91,223
1048,Dott,9,1,23,23,100,223
